,nombre_app,puntaje,bigramas_actividades,conteo
216,Ask AI - Chatbot con GPT,5,brinda información,4
217,Ask AI - Chatbot con GPT,5,tiene respuestas,3
218,Ask AI - Chatbot con GPT,5,tengo palabras,3
219,Ask AI - Chatbot con GPT,5,tengo quejas,3
220,Ask AI - Chatbot con GPT,5,hacer resumenes,2
221,Ask AI - Chatbot con GPT,5,da resultados,2
222,Ask AI - Chatbot con GPT,5,da información,2
223,Ask AI - Chatbot con GPT,5,tiene limites,2
224,Ask AI - Chatbot con GPT,5,da respuesta,2
225,Ask AI - Chatbot con GPT,5,hacer cosas,2
226,Ask AI - Chatbot con GPT,5,dan ganas,2
227,Ask AI - Chatbot con GPT,5,resuelve dudas,2
228,Ask AI - Chatbot con GPT,5,tengo dinero,2
229,Ask AI - Chatbot con GPT,5,escribir historias,2
230,Ask AI - Chatbot con GPT,5,hacer tarea,2
231,Ask AI - Chatbot con GPT,5,tiene límite,2
232,Ask AI - Chatbot con GPT,5,visto gracias,2
233,Ask AI - Chatbot con GPT,5,hacer preguntas,2
234,Ask AI - Chatbot con GPT,5,da miedo,2
235,Ask AI - Chatbot con GPT,5,tiene anuncios,2
236,Ask AI - Chatbot con GPT,5,resolver problemas,2
237,Ask AI - Chatbot con GPT,5,tenido fallas,1
238,Ask AI - Chatbot con GPT,5,buscar porno recomiendo crack,1
239,Ask AI - Chatbot con GPT,5,hacer consultas,1
240,Ask AI - Chatbot con GPT,5,tiene ala,1
241,ChatGPT powered Chat - Nova,1,usar gratis,1
242,ChatGPT powered Chat - Nova,1,mandando datos,1
243,ChatGPT powered Chat - Nova,1,quita puntos,1
244,ChatGPT powered Chat - Nova,1,hace semanas,1
245,ChatGPT powered Chat - Nova,1,quiero respuestas,1
246,ChatGPT powered Chat - Nova,1,sacarte plata,1
247,ChatGPT powered Chat - Nova,1,llamándolo ia llaman cohete,1
248,ChatGPT powered Chat - Nova,1,tiene aliciente,1
249,ChatGPT powered Chat - Nova,1,tengo amigos,1
250,ChatGPT powered Chat - Nova,1,pregunto cosas,1
251,ChatGPT powered Chat - Nova,1,tengo preguntas,1
252,ChatGPT powered Chat - Nova,1,hacer negocio,1
253,ChatGPT powered Chat - Nova,1,tenga limites,1
254,ChatGPT powered Chat - Nova,1,pagar 1'000000,1
255,ChatGPT powered Chat - Nova,1,tengo pisto,1
256,ChatGPT powered Chat - Nova,1,cobra dinero,1
257,ChatGPT powered Chat - Nova,1,tiene limite,1
258,ChatGPT powered Chat - Nova,1,pagando ,1
259,ChatGPT powered Chat - Nova,1,brinda informacion,1
260,ChatGPT powered Chat - Nova,1,robando identidades,1
261,ChatGPT powered Chat - Nova,1,tiene sentido,1
262,ChatGPT powered Chat - Nova,1,regala créditos,1
263,ChatGPT powered Chat - Nova,1,Necesitas dinero hacer preguntas,1
264,ChatGPT powered Chat - Nova,1,tiene límite,1
265,ChatGPT powered Chat - Nova,1,dar estrellas,1
266,ChatGPT powered Chat - Nova,1,das cuenta decir tonterías,1
267,ChatGPT powered Chat - Nova,1,dan créditos,1
268,ChatGPT powered Chat - Nova,1,toma datos da páginas,1
269,ChatGPT powered Chat - Nova,1,hacer dinero,1
270,ChatGPT powered Chat - Nova,2,pide pago,1
271,ChatGPT powered Chat - Nova,2,borrará caché,1
272,ChatGPT powered Chat - Nova,2,consigue información ponen límites,1
273,ChatGPT powered Chat - Nova,2,tienes razón,1
